"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","HTTP","",""
"pre_128cipher","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not offered","",""
"SSLv3","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not offered","",""
"TLS1","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","not offered","",""
"TLS1_1","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","not offered","",""
"TLS1_2","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","offered","",""
"TLS1_3","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","not offered","",""
"cipherlist_NULL","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","offered","",""
"cipherlist_STRONG","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","offered","",""
"cipher_order","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","server","",""
"protocol_negotiated","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","offered","",""
"FS_ciphers","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","prime256v1","",""
"TLS_extensions","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'status request/#5' 'heartbeat/#15' 'next protocol/#13172'","",""
"TLS_session_ticket","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","yes","",""
"sessionresumption_ticket","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","not supported","",""
"sessionresumption_ID","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","supported","",""
"TLS_timestamp","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","random","",""
"cert_compression","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","N/A","",""
"clientAuth","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","none","",""
"cert_numbers","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","1","",""
"cert_signatureAlgorithm","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","SHA256 with RSA","",""
"cert_keySize","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","CD407C6185EC5AACFEEAB4F21D1A5157","",""
"cert_fingerprintSHA1","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","13DDF31F44621D591D4C4B3FFC6B8F4FD6582DE1","",""
"cert_fingerprintSHA256","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","C5081D37F8B7DCC78F4FA8552E65586656C7D05C72523E1D62720171B49EA8C1","",""
